Month,Demand Deposits,Time Deposits,Aggregate deposits (2+3),Aggregate deposits (2+3) (Adjusted),Borrowings from RBI,Liabilities to Banks,Other demand and time liabilities,Investments in Govt. securities,Investments in other approved securities,Investment In India(8+9),Investment In India(8+9) (Adjusted),Food credit,Non - Food credit,Bank Credit (11+12),Bank Credit (11+12) (Adjusted),Cash in hand,Balances with RBI,Assets with Banks,Liquidity,Deposit Stability Growth,Deposit Stability,CD Ratio,Investment/Deposit Ratio,Market Risk Volatility,Market Risk - Coefficient of Variation
25/7/2025 0:00,"2,876,368","20,473,459","23,349,827",-,"1,906","469,955","989,672","6,726,284",544,"6,726,828",-,"56,674","18,444,703","18,501,377",-,"82,475","918,229","369,221","8,096,209",0.32470626,14.04925265,79.23560722,28.80889719,0.930420755,-111.5638558
26/7/2025 0:00,"3,072,874","20,352,771","23,425,645","23,373,019","1,065","496,493","1,046,816","6,696,348",454,"6,696,802","6,650,215","64,389","18,421,811","18,486,200","18,091,714","86,671","933,483","398,514","8,115,016",-1.08045143,15.09806386,78.91436668,28.58748087,0.951852909,-117.489878
27/7/2025 0:00,"2,988,921","20,183,622","23,172,543","23,117,503","6,516","500,764","1,034,574","6,706,169",548,"6,706,717","6,660,129","70,581","18,216,796","18,287,377","17,888,404","87,179","956,086","403,817","8,153,251",-1.345030432,14.80864393,78.9183009,28.94251766,0.96943331,-117.6037422
28/7/2025 0:00,"2,638,562","20,222,302","22,860,865","22,802,333","24,763","475,578","1,015,129","6,692,827",616,"6,693,443","6,645,677","32,126","18,155,766","18,187,891","17,775,402","81,711","909,269","372,053","8,055,860",-1.22595423,13.04778442,79.55906985,29.27904442,0.969093817,-118.70368
29/7/2025 0:00,"2,698,049","19,882,552","22,580,601","22,521,155","311,466","451,305","1,061,632","6,697,298",630,"6,697,928","6,650,167","36,531","18,207,441","18,243,972","17,822,605","81,874","882,415","348,496","8,010,083",-1.312173216,13.56993201,80.79489215,29.66230967,0.969615859,-120.5133878
30/7/2025 0:00,"2,524,095","19,760,209","22,284,305","22,222,442","301,901","422,162","1,021,608","6,650,508",524,"6,651,031","6,600,150","47,448","17,942,532","17,989,979","17,556,777","81,760","888,462","319,380","7,940,110",-0.707817378,12.77362549,80.72937352,29.84625962,0.970099148,-120.9193189
31/7/2025 0:00,"2,510,913","19,615,659","22,126,572","22,062,333","354,098","448,209","990,921","6,635,022",504,"6,635,526","6,584,651","56,179","17,812,300","17,868,479","17,426,890","84,829","889,895","309,919","7,919,665",-0.289159609,12.80055483,80.75574584,29.98894717,0.979926545,-123.6635552
1/8/2025 0:00,"2,569,573","19,493,019","22,062,591","21,995,901","244,697","456,515","996,626","6,595,249",498,"6,595,747","6,544,879","56,139","17,686,899","17,743,037","17,304,495","89,267","939,428","339,609","7,963,552",-0.204534542,13.18201451,80.421367,29.8956126,1.015623444,-131.8465148
2/8/2025 0:00,"2,576,789","19,440,677","22,017,466","21,948,305","21,293","436,037","1,021,781","6,538,351",565,"6,538,915","6,487,697","51,254","17,457,702","17,508,956","17,052,942","90,867","1,023,815","314,490","7,967,523",-0.949854645,13.254624,79.5230295,29.69876471,1.040713357,-131.38702
3/8/2025 0:00,"2,544,608","19,263,724","21,808,332","21,735,760","7,756","448,036","950,616","6,490,267",741,"6,491,008","6,429,418","18,654","17,219,020","17,237,674","16,772,030","91,269","984,541","339,900","7,905,977",-1.387839126,13.20932319,79.04169116,29.76389027,1.042469701,-134.2591257
4/8/2025 0:00,"2,498,373","19,007,294","21,505,667","21,430,192","51,223","462,140","1,031,197","6,403,395",649,"6,404,044","6,340,502","39,851","17,085,201","17,125,052","16,648,643","86,246","956,255","345,892","7,791,788",-0.839504763,13.14428704,79.63041504,29.77840182,1.047776388,-137.0061445
5/8/2025 0:00,"2,446,039","18,879,087","21,325,126","21,246,179","6,708","499,367","930,738","6,365,128",358,"6,365,487","6,300,584","24,361","16,920,948","16,945,309","16,459,977","96,191","960,220","392,637","7,814,177",-0.616913915,12.95634226,79.46170441,29.84970344,1.051931321,-139.0490491
6/8/2025 0:00,"2,444,220","18,749,348","21,193,568","21,110,367","7,161","495,646","898,968","6,312,657","1,111","6,313,767","6,248,416","56,380","16,757,555","16,813,935","16,320,298","99,350","976,073","363,113","7,751,194",0.433287205,13.03629526,79.33508169,29.79095991,1.145115776,-139.896531
7/8/2025 0:00,"2,601,677","18,683,720","21,285,397","21,196,001","102,741","508,732","929,579","6,157,070","1,137","6,158,207","6,092,862","33,904","16,852,125","16,886,029","16,385,798","104,977","973,455","376,530","7,612,032",-0.931112614,13.92483597,79.33151672,28.93160437,1.173130054,-148.3641379
8/8/2025 0:00,"2,506,493","18,580,713","21,087,206","20,992,028","71,305","523,457","967,361","6,182,473","1,029","6,183,502","6,098,620","40,259","16,742,623","16,782,882","16,271,803","90,895","951,109","362,432","7,586,909",-1.583009073,13.48975598,79.58798025,29.3234766,1.22067158,-149.1832782
9/8/2025 0:00,"2,461,947","18,291,447","20,753,394","20,647,412","85,339","539,651","897,248","6,147,101","1,110","6,148,210","6,060,907","18,090","16,473,706","16,491,796","15,970,978","100,321","944,236","359,164","7,550,821",-1.340347464,13.4595502,79.46553877,29.62508382,1.219666856,-150.5770644
10/8/2025 0:00,"2,443,853","18,031,373","20,475,226","20,366,984","222,716","549,351","937,428","6,105,610",949,"6,106,558","6,015,003","23,081","16,409,083","16,432,164","15,901,477","89,433","931,483","374,474","7,501,000",-1.32060513,13.55333874,80.25388153,29.82412943,1.218479304,-151.4587991
11/8/2025 0:00,"2,368,307","17,836,522","20,204,830","20,092,042","256,374","516,165","921,387","6,047,841",825,"6,048,666","5,956,993","40,502","16,173,633","16,214,135","15,677,730","83,045","909,400","357,114","7,397,400",-0.721003263,13.2778546,80.24880769,29.93673397,1.219548682,-152.441462
12/8/2025 0:00,"2,355,015","17,704,137","20,059,152","19,942,850","337,637","534,661","890,914","5,973,361",807,"5,974,168","5,880,681","45,619","15,997,973","16,043,592","15,490,356","84,097","933,808","358,710","7,349,976",0.144020894,13.30205928,79.98140591,29.78275613,1.219331297,-152.3606644
13/8/2025 0:00,"2,437,504","17,650,537","20,088,041","19,966,754","271,352","524,747","937,130","5,989,765",737,"5,990,503","5,889,692","43,139","15,918,805","15,961,944","15,388,871","95,082","939,847","364,152","7,388,846",-2.17134912,13.80980133,79.45993171,29.82123758,1.218228055,-152.4139176
14/8/2025 0:00,"2,307,178","17,344,681","19,651,860","19,523,626","131,042","500,253","887,233","6,069,047",820,"6,069,868","5,963,364","40,261","15,580,546","15,620,807","15,040,209","88,879","910,823","359,006","7,427,755",-0.69229941,13.3019362,79.48767799,30.88698849,1.219297624,-153.3682007
15/8/2025 0:00,"2,248,738","17,267,072","19,515,810","19,381,615","143,806","512,876","900,123","6,052,733",696,"6,053,429","5,942,172","19,841","15,438,046","15,457,887","14,871,457","90,803","917,856","356,461","7,417,853",-1.204894278,13.0232731,79.20699513,31.01807663,1.218561971,-153.9754448
16/8/2025 0:00,"2,204,591","17,076,074","19,280,665","19,138,669","187,948","504,626","877,240","5,980,661",696,"5,981,357","5,868,392","18,865","15,132,449","15,151,314","14,558,874","94,141","959,345","344,692","7,378,840",-0.205927815,12.91041047,78.58294287,31.02256418,10.41389622,-555.0767149
17/8/2025 0:00,"2,212,312","17,028,649","19,240,961","19,094,165","93,310","508,423","890,708","5,900,814",775,"5,901,589","5,788,825","19,355","14,897,956","14,917,312","14,315,110","93,145","1,010,361","347,187","7,351,507",-0.380426722,12.99170863,77.52893184,30.67200509,10.47039141,-553.2411971
18/8/2025 0:00,"2,258,782","16,908,981","19,167,763","19,017,304","45,028","505,701","820,774","5,838,607",753,"5,839,360","5,726,793","20,836","14,766,287","14,787,123","14,176,844","96,924","899,279","349,919","7,184,729",-0.061274129,13.35847752,77.14579518,30.46448234,10.52724011,-550.328221
19/8/2025 0:00,"2,448,921","16,707,097","19,156,018",,"50,867","358,882","824,873","5,669,865",756,"5,670,620",,"27,906","14,355,812","14,383,718",,"113,882","871,167","335,423","6,990,336",-4.070063485,14.6579701,75.08720163,29.60229198,10.58435927,-560.415055
20/8/2025 0:00,"2,121,659","16,254,697","18,376,356",,"69,761","358,776","795,002","5,550,541",786,"5,551,328",,"36,350","13,857,621","13,893,970",,"95,358","852,417","331,613","6,829,929",-0.351252223,13.05259267,75.60786388,30.20907729,10.64372444,-558.393023
