Liquidity,Deposit Stability,Deposit Stability Growth,CD Ratio,Investment/Deposit Ratio
3403690.103,9.911096039,-5.041614117,76.53795024,29.28332049
3412874.097,9.934136626,-0.872486801,76.83045447,29.08226476
3344108.118,10.53525993,-0.298914072,77.72477278,28.14867749
3408706.28,10.48259475,-2.079030132,75.92701739,28.26751479
3427345.324,10.13572126,0.118116251,75.95517807,28.71708918
3439283.513,10.21746257,-0.308437423,75.73681942,28.77620303
3477574.474,9.911096039,-0.81464615,75.25065116,29.02814985
3482471.336,10.13409426,-0.582167387,74.8866631,29.03134004
3590430.248,11.52137944,-4.115420325,74.25332741,28.3032525
3626868.609,10.38364974,1.629689973,74.35129566,29.0298367
4183680.461,11.44949652,-5.041614117,69.38666476,30.84622579
4445928.146,11.48436586,0.141884939,69.89040906,33.73732139
4323261.37,11.22988455,0.236433465,70.74628219,33.73732139
4057076.449,11.27296277,0.050726178,71.44617922,31.87504361
3843611.216,13.52268842,-2.954548939,72.89195621,28.17494154
3939318.268,11.83181811,1.789310664,71.77296738,30.13020135
3953223.187,11.43753099,0.617629661,72.09308802,30.59148149
3968081.203,11.81634787,-0.496097823,72.36310286,30.51256544
4004329.391,11.45509638,-0.22414665,72.42981313,30.83415115
4064151.669,11.58779713,-0.49691207,72.26974614,31.0757025
4109993.588,12.77680653,-2.648159755,73.12485909,30.46287663
4092720.409,11.81230759,1.111272429,73.02252158,30.84265861
4101147.386,11.4984487,0.025258247,73.50479636,31.02268067
4092671.434,11.70611817,-0.240726715,74.56206092,30.80632022
4136948.636,11.33063423,-0.975231226,74.50971636,30.7810895
4169735.633,11.4209715,-0.680151386,74.74098338,30.92820024
4164612.856,13.62682821,-3.708850325,75.48912618,29.04287953
4206561.893,11.97952518,0.392110114,74.83797083,29.52889558
4197829.667,11.48869672,0.25191339,75.20293258,29.71846091
4236965.021,11.55906465,-0.001410209,75.87802173,29.91781546
4292358.36,11.31095274,-0.735815339,75.27873779,30.31654681
4337535.167,11.79780717,-1.79776551,75.39381712,30.09223075
4308521.553,12.48383371,-1.299503564,76.11673019,29.22058383
4271967.264,11.74890089,0.242969343,76.74606812,29.18853289
4265153.989,11.57921567,-0.358227228,77.30620996,29.00190067
4209819.944,11.19774415,-0.022837013,78.6003828,28.33305401
4251151.849,11.29910827,-1.415831822,77.86229633,28.0613912
4227741.929,11.88834264,-1.101468091,77.89424003,27.68154279
4347399.206,13.66137378,-3.613122347,77.71512501,27.03365772
4375351.105,12.14251126,0.720149303,77.06701581,27.67980542
4415502.152,11.73819047,-0.125510185,76.975085,28.17619791
4368212.336,11.50366061,0.05676196,77.23669508,27.74989132
4434144.564,11.698212,-1.249936193,76.34724594,27.60927718
4529805.191,11.96396658,-1.014120836,75.74337934,28.02049822
4627211.8,12.25376372,-0.978295691,75.68964102,28.61166592
4616061.137,11.71832442,-0.551880387,75.82445973,28.38240801
4625971.08,11.45411624,0.15133727,76.09154575,28.7037552
4582995.149,11.62511621,-0.38748417,76.46656294,28.62834727
4594913.303,12.03239273,-2.365059404,75.84190511,28.03597787
4663412.813,12.3030827,-0.017011561,75.82667672,28.35217647
4622380.162,13.53085335,-1.777955008,76.43903965,27.62005755
4747453.682,11.86400227,-1.134502897,74.86176145,28.92657032
4843556.737,11.66658031,-0.77175171,73.9176883,29.31595067
4939858.671,11.6993688,-0.268353072,73.8846418,29.87202362
5053185.662,12.09534908,-2.077086531,72.60688762,30.31796746
5105487.235,12.16634682,-0.109501077,72.06254621,30.76310719
5173000.931,12.42328417,-0.600252419,72.01858392,31.12443161
5176528.025,11.77243528,-0.20367771,72.34271512,31.06902645
5188512.341,11.75461188,-0.549200276,72.61353373,30.79465008
5195046.401,12.11517977,-0.749543355,72.84388045,30.48288454
5191862.196,12.90162797,-2.187459776,72.30913753,29.95813292
5205039.098,12.87250189,-0.875978925,72.15110056,29.87443842
5292613.281,14.04427768,-1.190538767,72.44847322,29.52672769
5329250.251,12.88382948,-0.137398247,71.76070632,29.59377478
5424914.122,12.58215128,-0.216767836,71.41221,29.90330559
5533585.387,12.93101614,-0.858613347,70.8685424,29.95045632
5612336.653,13.38010462,-1.611386473,70.16849768,29.86789611
5531104.361,13.04815027,0.206516708,70.22984922,29.60149821
5600593.467,13.23928592,-0.525017891,70.24074437,29.89508441
5616050.037,13.12424228,-0.725979507,70.28959763,29.5211085
5584706.893,13.04505634,-0.418875264,70.74029816,29.05419567
5644871.797,14.57933599,-2.849047581,71.31013045,28.37258955
5590468.206,13.54247611,1.305643375,71.53568136,28.57114707
5654576.617,13.77885151,-1.140755215,71.79711048,28.79743017
5741178.79,14.40150734,-1.50488805,72.22039595,28.7206662
5808524.265,13.63601585,-0.951444592,71.92440388,28.70492537
5963549.637,13.61186272,0.296858198,72.63135119,28.78445928
6078038.675,13.30981972,0.029917552,73.33044215,29.4615418
6233276.674,13.67713996,-2.374433251,72.87957651,29.54398011
6231574.114,13.51291667,-0.126764391,73.31272163,29.81818219
6249941.018,13.16335411,-0.223926997,74.15382091,29.80051426
6259329.639,13.34555409,-1.000394442,74.88564516,29.36368873
6328611.524,13.4513889,-0.539101778,74.85430088,29.40687973
6351944.405,14.17554818,-2.461008632,75.03673889,28.7363594
6432597.575,13.85845545,0.081016019,75.27069185,29.31596079
6554938.435,13.68922349,-0.797372668,75.30163937,29.88244198
6641092.791,13.74496723,-1.008982437,75.78863192,30.01093973
6706551.821,13.22602146,-1.462964369,75.68584231,29.73756181
6829929.491,13.05259267,-0.351252223,75.60786388,30.20907729
6990336.147,14.6579701,-4.070063485,75.08720163,29.60229198
7184728.713,13.35847752,-0.061274129,77.14579518,30.46448234
7351507.223,12.99170863,-0.380426722,77.52893184,30.67200509
7378839.675,12.91041047,-0.205927815,78.58294287,31.02256418
7417852.779,13.0232731,-1.204894278,79.20699513,31.01807663
7427755.003,13.3019362,-0.69229941,79.48767799,30.88698849
7388845.706,13.80980133,-2.17134912,79.45993171,29.82123758
7349976.434,13.30205928,0.144020894,79.98140591,29.78275613
7397399.987,13.2778546,-0.721003263,80.24880769,29.93673397
7500999.785,13.55333874,-1.32060513,80.25388153,29.82412943
7550820.849,13.4595502,-1.340347464,79.46553877,29.62508382
7586908.823,13.48975598,-1.583009073,79.58798025,29.3234766
7612031.624,13.92483597,-0.931112614,79.33151672,28.93160437
7751193.532,13.03629526,0.433287205,79.33508169,29.79095991
7814176.624,12.95634226,-0.616913915,79.46170441,29.84970344
7791788.108,13.14428704,-0.839504763,79.63041504,29.77840182
7905976.658,13.20932319,-1.387839126,79.04169116,29.76389027
7967522.911,13.254624,-0.949854645,79.5230295,29.69876471
7963552.408,13.18201451,-0.204534542,80.421367,29.8956126
7919664.979,12.80055483,-0.289159609,80.75047138,29.98894717
7940109.67,12.77362549,-0.707817378,80.72937352,29.84625962
8010082.5,13.56993201,-1.312173216,80.75047138,29.66230967
8055859.777,13.04778442,-1.22595423,79.55906985,29.27904442
8111254.689,14.80864393,-1.345030432,78.9183009,28.94251766
8111254.689,15.04017987,-1.08045143,78.91436668,28.58748087
8096209.22,14.04925265,0.32470626,79.23560722,28.80889719
3344108.118,15.04017987,1.789310664,69.38666476,27.03365772
5174764.478,12.78868068,-0.686225398,75.27471482,29.60189509
5174764.478,12.78868068,-0.686225398,75.27471482,29.60189509
5174764.478,12.78868068,-0.686225398,75.27471482,29.60189509
5174764.478,12.78868068,-0.686225398,75.27471482,29.60189509
5174764.478,12.78868068,-0.686225398,75.27471482,29.60189509
